city,population_city_2015,population_city_2018
Kirby,8559,8601
Kirbyville,2108,2257
Kirvin,133,137
Knippa CDP,695,665
Knollwood,443,554
Knox City,1160,1063
Kosse,472,456
Kountze,2216,2130
Kress,702,687
Krugerville,1987,2010
Krum,5042,5175
Kurten,416,371
Kyle,38325,46174
La Blanca CDP,2582,2633
La Carla CDP,75,72
La Casita CDP,120,115
La Chuparosa CDP,56,54
Lackland AFB CDP,11373,10103
La Coma CDP,51,57
LaCoste,1184,1287
Lacy-Lakeview,6630,7010
Ladonia,615,626
La Escondida CDP,167,172
La Esperanza CDP,222,208
La Feria,7877,7814
La Feria North CDP,223,233
Lago CDP,203,180
Lago Vista (Travis),7051,7114
Lago Vista CDP (Starr),123,122
La Grange,4772,4751
La Grulla,1692,1676
Laguna Heights CDP,4102,4229
Laguna Park CDP,1209,1243
Laguna Seca CDP,281,273
Laguna Vista,3414,3280
La Homa CDP,12705,12207
La Joya,4346,4407
Lake Bridgeport,373,398
Lake Brownwood CDP,1585,1510
Lake Bryan CDP,1906,1833
Lake Cherokee CDP,3224,2795
Lake City,511,514
Lake Colorado City CDP,557,533
Lake Dallas,8313,7890
Lake Dunlap CDP,2125,2105
Lakehills CDP,5423,5842
Lake Jackson,28143,27699
Lake Kiowa CDP,1757,1722
Lake Medina Shores CDP,1331,1362
Lake Meredith Estates CDP,414,408
Lakeport,1039,1056
Lakeshore Gardens-Hidden Acres CDP,479,467
Lakeside (San Patricio),307,309
Lakeside (Tarrant),1380,1731
Lakeside City (Archer),1010,1094
Lake Tanglewood,831,885
Lakeview,103,95
Lake View CDP,196,206
Lakeway,13945,15827
Lakewood Village,669,694
Lake Worth,4781,4964
La Loma de Falcon CDP,99,100
Lamar CDP,641,601
La Marque,16208,16817
Lamesa,9378,8816
La Minita CDP,179,178
Lampasas,7757,7947
Lancaster,38271,39001
Lantana CDP,8018,7985
La Paloma CDP,3425,3521
La Paloma Addition CDP,328,320
La Paloma-Lost Creek CDP,429,500
La Paloma Ranchettes CDP,257,256
La Porte,35672,34926
La Presa CDP,322,305
La Pryor CDP,1775,1828
La Puerta CDP,600,601
Laredo,260799,268057
Laredo Ranchettes CDP,22,16
La Rosita CDP,69,69
Lasana CDP,78,68
Lasara CDP,999,912
Las Haciendas CDP,9,3
Las Lomas CDP,3262,3217
Las Lomitas CDP,220,239
Las Palmas CDP (Zapata),65,61
Las Palmas II CDP (Cameron),1861,1895
Las Pilas CDP,29,27
Las Quintas Fronterizas CDP,3549,4014
Latexo,326,332
La Tina Ranch CDP,671,739
Laughlin AFB CDP,1570,1561
Laureles CDP,3786,3629
La Vernia,1302,1387
La Victoria CDP,155,161
La Villa,2271,2543
Lavon,3024,3752
La Ward,218,219
Lawn,328,314
League City,100711,108184
Leakey,445,504
Leander,36594,58638
Leary,502,491
Lefors,516,472
Leming CDP,1102,996
Leona,176,189
Leonard,1996,2080
Leon Valley,11357,11471
Leroy,341,345
Levelland,14115,13732
Lewisville,106855,111150
Lexington,1190,1206
Liberty,9202,9754
Liberty City CDP,2461,2647
Liberty Hill,1638,2088
Lindale,0,6434
Linden,5495,1967
Lindsay (Cooke),1973,1127
Lindsay CDP (Reeves),1083,282
Linn CDP,263,765
Lipan,795,483
Lipscomb CDP,444,28
Little Elm,27,58610
Littlefield,38833,5915
Little River-Academy,5940,2076
Live Oak,1929,16084
Liverpool,15724,573
Livingston,531,5302
Llano,5217,3507
Llano Grande CDP,3303,2728
Lockhart,3318,13889
Lockney,13392,1645
Log Cabin,1684,784
Lolita CDP,740,637
Loma Grande CDP,570,107
Loma Linda CDP,105,128
Loma Linda East CDP (Jim Wells),120,276
Loma Linda East CDP (Starr),254,40
Loma Linda West CDP,42,126
Loma Vista CDP,126,171
Lometa,167,859
Lone Oak,857,676
Lone Star,633,1467
Longoria CDP,1553,95
Longview,98,82894
Loop CDP,82822,256
Lopeno CDP,225,183
Lopezville CDP,185,4251
Loraine,4475,570
Lorena,582,1776
Lorenzo,1771,1160
Los Altos CDP,1199,149
Los Alvarez CDP,150,287
Los Angeles CDP,292,141
Los Arcos CDP,135,136
Los Arrieros CDP,138,91
Los Barreras CDP,94,302
Los Centenarios CDP,300,98
Los Corralitos CDP,99,50
Los Ebanos CDP (Hidalgo),41,318
Los Ebanos CDP (Starr),353,298
Los Fresnos (Cameron),294,8030
Los Fresnos CDP (Webb),5938,85
Los Huisaches CDP,78,16
Los Indios,16,1060
Los Lobos CDP,1106,7
Los Minerales CDP,7,16
Los Nopalitos CDP,20,62
Lost Creek CDP,68,4539
Los Veteranos I CDP,4499,22
Los Veteranos II CDP,24,29
Los Ybanez,29,17
Lott,18,782
Louise CDP,743,1027
Lovelady,1005,638
Lowry Crossing,626,1726
Lozano CDP,2010,436
Lubbock,440,256600
Lucas,250705,8066
Lueders,6602,327
Lufkin,336,37047
Luling,37090,6016
Lumberton,5718,12834
Lyford,12717,2576
Lytle,2579,3023
Mabank,2866,4093
McAllen,3279,144379
McCamey,142689,2103
McDade CDP,1945,719
Macdona CDP,772,590
McGregor,625,5296
McKinney,5145,185862
McKinney Acres CDP,165893,1080
McLean,1018,747
McLendon-Chisholm,790,3113
McQueeney CDP,2000,2614
Madisonville,2689,4778
Magnolia,4720,2153
Malakoff,1872,2442
Malone,2370,276
Manchaca CDP,271,1212
Manor,1303,14078
Mansfield,7896,69909
Manuel Garcia CDP,64523,175
Manuel Garcia II CDP,210,78
Manvel,75,13532
Marathon CDP,8171,394
Marble Falls,413,7125
Marfa,6312,1666
Marietta,1878,132
Marion,134,1241
Markham CDP,1110,1140
Marlin,1045,5665
Marquez,5661,270
Marshall,276,24444
Mart,24842,2041
Martindale,1928,1265
Martinez CDP,1224,69
Mason,73,2293
Matador,2152,615
Matagorda CDP,535,462
Mathis,456,4745
Maud,5000,1079
Mauriceville CDP,1147,3905
Maypearl,3432,1146
Meadow,1092,578
Meadowlakes,555,1827
Meadows Place,1954,4409
Medina CDP,5156,4265
Megargel,4306,198
Melissa,195,12280
Melvin,6752,174
Memphis,183,2148
Menard,2113,1400
Mentone CDP,1464,32
Mercedes,22,17086
Meridian,17193,1511
Merkel,1462,2656
Mertens,2676,128
Mertzon,128,835
"Mesquite (Dallas, Kaufman)",769,140594
Mesquite CDP (Starr),144738,550
Mexia,543,7709
Miami,7725,551
Midland,593,144600
Midlothian,135175,28301
Midway,20717,242
Midway North CDP,237,5037
Midway South CDP,5084,2569
Miguel Barrera CDP,2464,134
Mikes CDP,133,982
Mila Doce CDP,986,6745
Milam CDP,6903,1508
Milano,1559,456
Mildred,409,390
Miles,376,835
Milford,870,764
Miller's Cove,751,156
Millican,151,240
Millsap,254,446
Mineola,440,4843
Mineral Wells,4788,17295
Mingus,16486,249
Mi Ranchito Estate CDP,232,255
Mirando City CDP,267,352
Mission,396,86309
Mission Bend CDP,82995,45175
Missouri City,41351,79390
Mobeetie,76044,96
Mobile City,107,208
Monahans,200,7638
Montague CDP,7262,300
Mont Belvieu,304,5933
Monte Alto CDP,5054,1975
Montgomery,2102,1156
Moody,843,1426
Moore CDP,1398,478
Moore Station,522,205
Moraida CDP,204,230
Morales-Sanchez CDP,231,77
Moran,77,260
Morgan,285,515
Morgan Farm CDP,490,466
Morgan's Point,466,360
Morgan's Point Resort,377,4702
Morning Glory CDP,4184,600
Morse CDP,640,115
Morton,137,1781
Moulton,1922,903
Mountain City,905,797
Mount Calm,719,332
Mount Enterprise,320,439
Mount Pleasant,446,17237
Mount Vernon,17210,2739
Muenster,2838,1634
Muleshoe,1612,5261
Mullin,5134,180
Munday,178,1169
Muniz CDP,1287,1581
Murchison,1531,611
Murillo CDP,601,9070
Murphy,8184,20805
Mustang,20727,23
Mustang Ridge,24,994
Myrtle Springs CDP,970,890
Nacogdoches,970,33676
Naples,34099,1339
Narciso Pena CDP,1381,36
Nash,35,3858
Nassau Bay,3436,4138
Natalia,4082,1627
Navarro,1485,211
Navasota,215,7937
Nazareth,7587,304
Nederland,295,17302
Needville,17244,3416
Nesbitt,3296,269
Netos CDP,271,39
Nevada,35,1089
Newark,1017,1228
New Berlin,1067,608
New Boston,588,4660
New Braunfels,4970,84560
Newcastle,72095,559
New Chapel Hill,589,630
New Deal,604,825
New Fairview,816,1581
New Falcon CDP,1394,173
New Home,180,366
New Hope,348,650
New London,626,996
New Summerfield,995,1214
New Territory CDP,1186,19291
Newton,16182,2352
New Waverly,2388,1091
Neylandville,1041,106
Niederwald,105,648
Nina CDP,624,147
Nixon,153,2503
Nocona,2463,3036
Nocona Hills CDP,3005,630
Nolanville,682,5540
Nome,4846,596
Noonday,572,805
Nordheim,815,316
Normangee,318,683
Normanna CDP,717,109
North Alamo CDP,113,3901
North Cleveland,3714,304
North Escobares CDP,255,107
Northlake,108,3354
North Pearsall CDP,2453,681
North Richland Hills,656,70980
Northridge CDP,68805,91
North San Pedro CDP,88,854
Novice,898,137
Oak Grove,135,702
Oakhurst CDP,672,241
Oak Island CDP,238,385
Oak Leaf,368,1479
Oak Point,1383,4534
Oak Ridge (Cooke),3224,200
Oak Ridge (Kaufman),138,661
Oak Ridge North,588,3476
Oak Trail Shores CDP,3203,3416
Oak Valley,3180,401
Oakwood,395,522
O'Brien,517,104
Odem,104,2390
Odessa,2459,125720
O'Donnell,119860,827
